,MonovsEnpitu,MonovsSattunMina,MonovsYaduyaBurnum,MonovsKateTakakura,Monovsrandomagent,EnpituvsSattunMina,EnpituvsYaduyaBurnum,EnpituvsKateTakakura,Enpituvsrandomagent,SattunMinavsYaduyaBurnum,SattunMinavsKateTakakura,SattunMinavsrandomagent,YaduyaBurnumvsKateTakakura,YaduyaBurnumvsrandomagent,KateTakakuravsrandomagent
153,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2
154,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1
155,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1
156,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1
157,1,2,1,1,1,2,2,1,2,1,1,1,1,2,2
158,1,1,1,1,1,2,0,0,1,2,1,1,1,1,1
159,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2
160,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2
161,1,1,1,1,1,0,1,2,1,1,1,2,1,2,1
162,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2
163,1,1,1,1,1,0,1,1,1,2,2,1,1,2,1
164,1,2,1,2,1,1,2,1,2,1,1,2,2,1,2
165,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2
166,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1
167,1,1,2,1,1,2,2,1,1,1,1,2,1,2,2
168,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2
169,1,1,1,1,1,2,0,1,2,1,2,1,2,1,1
170,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2
171,1,1,1,1,1,1,0,1,2,2,1,1,1,1,1
172,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1
173,1,1,1,1,1,2,1,2,2,1,1,2,0,1,1
174,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1
175,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1
176,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2
177,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2
178,1,2,1,1,1,2,1,2,2,2,1,2,2,1,1
179,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1
180,1,1,1,1,1,2,0,1,1,2,2,1,1,1,1
181,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1
182,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2
183,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1
184,1,1,1,1,1,2,2,0,2,1,1,1,2,2,1
185,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1
186,1,1,2,1,1,1,1,2,1,1,1,1,2,0,1
187,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2
188,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1
189,1,1,2,1,1,1,2,2,0,1,2,2,2,1,1
190,1,1,1,1,1,2,2,2,2,1,0,1,1,1,2
191,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2
